T14,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
14,Eastern Africa,2020,GDP in current prices (millions of US dollars),431717.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,1995,GDP per capita (US dollars),324.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2005,GDP per capita (US dollars),400.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2010,GDP per capita (US dollars),687.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2015,GDP per capita (US dollars),836.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2018,GDP per capita (US dollars),946.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2019,GDP per capita (US dollars),1002.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2020,GDP per capita (US dollars),972.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,1995,GDP in constant 2010 prices (millions of US dollars),109587.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2005,GDP in constant 2010 prices (millions of US dollars),163768.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2010,GDP in constant 2010 prices (millions of US dollars),239026.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2015,GDP in constant 2010 prices (millions of US dollars),324886.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2018,GDP in constant 2010 prices (millions of US dollars),379850.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2019,GDP in constant 2010 prices (millions of US dollars),399792.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2020,GDP in constant 2010 prices (millions of US dollars),402791.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,1995,GDP real rates of growth (percent),4.40,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2005,GDP real rates of growth (percent),6.40,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2010,GDP real rates of growth (percent),9.50,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2015,GDP real rates of growth (percent),6.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2018,GDP real rates of growth (percent),5.70,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2019,GDP real rates of growth (percent),5.30,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2020,GDP real rates of growth (percent),0.80,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,1995,GDP in current prices (millions of US dollars),36081.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2005,GDP in current prices (millions of US dollars),99548.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2010,GDP in current prices (millions of US dollars),189153.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2015,GDP in current prices (millions of US dollars),238018.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2018,GDP in current prices (millions of US dollars),244526.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2019,GDP in current prices (millions of US dollars),230482.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2020,GDP in current prices (millions of US dollars),196683.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,1995,GDP per capita (US dollars),431.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2005,GDP per capita (US dollars),889.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2010,GDP per capita (US dollars),1437.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2015,GDP per capita (US dollars),1544.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2018,GDP per capita (US dollars),1446.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2019,GDP per capita (US dollars),1322.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2020,GDP per capita (US dollars),1095.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,1995,GDP in constant 2010 prices (millions of US dollars),84142.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
